author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
12 Realty Sochi;real_estate_agent;https://krasnodar.cian.ru/sale/flat/297367114/;Cанкт-Петербург;sale;flat;3;4;1;52.0;13400000;Сириус пгт; Голубая;11;;
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/302915910/;Cанкт-Петербург;sale;flat;8;20;2;51.72;29997600;;;;;Новая Ливадия
MOD estate;real_estate_agent;https://istra.cian.ru/sale/flat/300148132/;Cанкт-Петербург;sale;flat;2;3;1;43.0;4730000;с. Павловская Слобода; Озерная;12;;Метелица
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/300154095/;Cанкт-Петербург;sale;flat;6;9;1;33.8;5700000;;Олимпийский проспект;3к1;Медведково;
Стройспецмонтаж;developer;https://www.cian.ru/sale/flat/300434226/;Cанкт-Петербург;sale;flat;5;9;2;57.6;6500000;;;;;Мой город
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304541126/;Cанкт-Петербург;sale;flat;2;10;1;37.0;6700000;;Юбилейная ;33к3;Медведково;
ФСК Агент;real_estate_agent;https://balashikha.cian.ru/sale/flat/294989592/;Cанкт-Петербург;sale;flat;1;17;2;58.6;6700000;; Рождественская;5;Железнодорожная;
ID 96167522;realtor;https://www.cian.ru/sale/flat/301361857/;Cанкт-Петербург;sale;flat;5;9;1;29.5;6688500;Люблино; Верхние Поля;27С2;Братиславская;
ID 96167522;realtor;https://www.cian.ru/sale/flat/296746930/;Cанкт-Петербург;sale;flat;1;9;1;34.9;6854250;Люблино; Верхние Поля;27С2;Братиславская;
ФСК Агент;real_estate_agent;https://vidnoye.cian.ru/sale/flat/295310562/;Cанкт-Петербург;sale;flat;10;16;1;42.6;7200000;Поляна СНТ; Вишневая;;;Римский
AUTHOR DEVELOPMENT;developer;https://khotkovo.cian.ru/sale/flat/294351190/;Cанкт-Петербург;sale;flat;2;9;2;64.5;7165950;Хотьково; Михеенко;25к7;;Олимп
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/304828158/;Cанкт-Петербург;sale;flat;6;19;1;37.0;7900000;Ярославский;Лосиноостровская ;вл45к2;Свиблово;Сказочный лес
ТСН Владис;real_estate_agent;https://mytishchi.cian.ru/sale/flat/300020589/;Cанкт-Петербург;sale;flat;2;17;1;46.0;8280000;;Юбилейная ;44;Медведково;ул. Юбилейная
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300858701/;Cанкт-Петербург;sale;flat;6;22;1;17.3;8590000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/300822403/;Cанкт-Петербург;sale;flat;22;22;1;19.4;8880000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ФСК Агент;real_estate_agent;https://balashikha.cian.ru/sale/flat/304172976/;Cанкт-Петербург;sale;flat;14;25;2;68.0;8850000;;проспект Героев;9;Железнодорожная;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/301476484/;Cанкт-Петербург;sale;flat;13;22;1;17.6;8900000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
ID 89842977;homeowner;https://odintsovo.cian.ru/sale/flat/275897544/;Cанкт-Петербург;sale;flat;3;4;1;49.94;9150000;;;;;Эльйон
ID 96167522;realtor;https://www.cian.ru/sale/flat/298882717/;Cанкт-Петербург;sale;flat;9;9;1;36.5;9215000;Люблино; Верхние Поля;27С2;Братиславская;
ID 93391070;homeowner;https://mytishchi.cian.ru/sale/flat/302697750/;Cанкт-Петербург;sale;flat;2;5;2;40.0;9290000;; Крупской;7;Медведково;
Msk Estate;real_estate_agent;https://www.cian.ru/sale/flat/303666748/;Cанкт-Петербург;sale;flat;16;22;1;19.2;10000000;Тропарево-Никулино;Ленинский проспект;158;Юго-Западная;
OPN PARTNER;real_estate_agent;https://odintsovo.cian.ru/sale/flat/304920829/;Cанкт-Петербург;sale;flat;30;33;1;42.0;10400000;Новоивановское рп;Можайское шоссе;54;;Западные Ворота Столицы
СМУ-29;representative_developer;https://naro-fominsk.cian.ru/sale/flat/303905344/;Cанкт-Петербург;sale;flat;10;17;2;67.9;10500000;Наро-Фоминск; Школьная;9;;Школьный
Остов;developer;https://naro-fominsk.cian.ru/sale/flat/303909717/;Cанкт-Петербург;sale;flat;2;7;2;71.11;11300000;Наро-Фоминск; Володарского;10;;Арт
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/303223319/;Cанкт-Петербург;sale;flat;4;12;2;45.0;11500000;; Липовый Парк;7;Коммунарка;
Надежда Леденева;realtor;https://www.cian.ru/sale/flat/303120729/;Cанкт-Петербург;sale;flat;6;12;1;34.9;11600000;Щукино; Гамалеи;19К1;Щукинская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/304858109/;Cанкт-Петербург;sale;flat;3;9;1;32.1;11990000;Южнопортовый;5-я Кожуховская ;22К2;Кожуховская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/300568239/;Cанкт-Петербург;sale;flat;3;5;2;46.7;11990000;Новогиреево;Мартеновская ;20;Новогиреево;
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/304622002/;Cанкт-Петербург;sale;flat;2;25;1;41.3;12000000;Орехово-Борисово Южное;Ясеневая ;12к2;Домодедовская;Ясеневая 14
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303817562/;Cанкт-Петербург;sale;flat;3;9;2;47.0;12490000;Орехово-Борисово Южное;Домодедовская ;33;Домодедовская;
ФСК Агент;real_estate_agent;https://mytishchi.cian.ru/sale/flat/303624720/;Cанкт-Петербург;sale;flat;13;20;2;62.7;12500000;;Шараповский проезд;вл2с3;Медведково;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300328213/;Cанкт-Петербург;sale;flat;3;8;2;42.0;12500000;; Николо-Хованская;18;Филатов Луг;
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/303477289/;Cанкт-Петербург;sale;flat;10;12;2;40.0;13400000;Царицыно;Каспийская ;10;Царицыно;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301597650/;Cанкт-Петербург;sale;flat;5;9;2;44.8;13990000;Очаково-Матвеевское;Очаковское шоссе;11К1;Аминьевская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303810531/;Cанкт-Петербург;sale;flat;5;8;2;44.7;13990000;Донской;Варшавское шоссе;18К3;Верхние котлы;
Сибирь Девелопмент;developer;https://novosibirsk.cian.ru/sale/flat/284461401/;Cанкт-Петербург;sale;flat;9;25;2;85.3;14435800;Заельцовский;Овражная ;2А;Заельцовская;Тайм Сквер
Татьяна Серебрякова;realtor;https://www.cian.ru/sale/flat/304753368/;Cанкт-Петербург;sale;flat;5;14;2;54.0;15430000;Марьино;Братиславская ;6К1;Братиславская;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304633781/;Cанкт-Петербург;sale;flat;14;17;2;52.0;15500000;Нагатино-Садовники;Варшавское шоссе;53К4;Нагатинская;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303807545/;Cанкт-Петербург;sale;flat;14;17;2;64.0;15990000;; Бориса Пастернака;49;Мичуринец;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296506433/;Cанкт-Петербург;sale;flat;8;24;2;50.7;17100000;Можайский; Толбухина;11К2;Сетунь;
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/303787673/;Cанкт-Петербург;sale;flat;3;16;2;57.0;17500000;;проспект Прокшинский;10;Прокшино;Прокшино
Tekta Group;developer;https://www.cian.ru/sale/flat/303506233/;Cанкт-Петербург;sale;flat;8;28;1;39.7;17789570;Нагорный;;1;Нагорная;Твелв ЖК
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302728199/;Cанкт-Петербург;sale;flat;5;17;2;55.9;17900000;Отрадное;Нововладыкинский проезд;1к3;Окружная;Поколение
Екатерина Минибаева;realtor;https://www.cian.ru/sale/flat/303648893/;Cанкт-Петербург;sale;flat;6;9;2;45.0;17990000;Войковский; Зои и Александра Космодемьянских;11;Войковская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303945348/;Cанкт-Петербург;sale;flat;3;17;2;56.8;19290000;Чертаново Северное;Кировоградская ;7;Южная;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301596332/;Cанкт-Петербург;sale;flat;4;5;2;53.9;19990000;Ломоносовский; Строителей;5К4;Университет;
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/299252517/;Cанкт-Петербург;sale;flat;3;14;2;61.1;19950000;Печатники;Южнопортовая ;28АС17;Кожуховская;Level Южнопортовая
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300140948/;Cанкт-Петербург;sale;flat;11;20;1;44.0;22490000;Левобережный;Ленинградское шоссе;69;Беломорская;Aquatoria
MOD estate;real_estate_agent;https://www.cian.ru/sale/flat/302856189/;Cанкт-Петербург;sale;flat;17;17;2;51.2;22300000;Алексеевский;3-я Мытищинская ;3к2;Алексеевская;Алексеево
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296736911/;Cанкт-Петербург;sale;flat;4;21;1;45.15;22500000;Алексеевский;Новоалексеевская ;16к2;Алексеевская;Серебряный фонтан
MOD estate;real_estate_agent;https://www.cian.ru/sale/flat/299499349/;Cанкт-Петербург;sale;flat;5;21;1;48.4;22800000;Щукино;Щукинская ;3;Щукинская;Интонация
Estes;real_estate_agent;https://www.cian.ru/sale/flat/304233063/;Cанкт-Петербург;sale;flat;3;22;2;60.8;23000000;Хорошево-Мневники;3-я Хорошевская ;17А;Зорге;Вереск
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303947008/;Cанкт-Петербург;sale;flat;6;12;2;49.9;23190000;Филевский парк;Кастанаевская ;7;Багратионовская;
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/304119233/;Cанкт-Петербург;sale;flat;8;24;2;45.2;23300000;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
MR Group;developer;https://www.cian.ru/sale/flat/276155299/;Cанкт-Петербург;sale;flat;3;57;1;42.77;24617001;Филевский парк;;;Фили;Фили Сити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/293718260/;Cанкт-Петербург;sale;flat;5;6;1;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Delight Realty;real_estate_agent;https://www.cian.ru/sale/flat/295316100/;Cанкт-Петербург;sale;flat;22;42;2;61.6;27990000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
MOD estate;real_estate_agent;https://www.cian.ru/sale/flat/301499581/;Cанкт-Петербург;sale;flat;4;21;2;71.8;29850000;Щукино;Щукинская ;3;Щукинская;Интонация
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/288460035/;Cанкт-Петербург;sale;flat;9;21;2;50.3;32900000;Басманный; Земляной Вал;37к1;Чкаловская;Дом Chkalov
Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/303401196/;Cанкт-Петербург;sale;flat;26;43;2;62.8;35200000;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300539730/;Cанкт-Петербург;sale;flat;1;8;2;63.0;37000000;Басманный;Чистопрудный бульвар;12К2;Чистые пруды;
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/296565916/;Cанкт-Петербург;sale;flat;4;8;2;65.0;44900000;Тверской;Благовещенский переулок;5;Маяковская;
PANDA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/299568402/;Cанкт-Петербург;sale;flat;4;23;2;70.0;44990000;Хорошевский;9Ак1;9Ак1;Зорге;Зорге 9 ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301906284/;Cанкт-Петербург;sale;flat;5;9;2;64.0;47000000;Хамовники;Фрунзенская набережная;44С1;Фрунзенская;
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/299008778/;Cанкт-Петербург;sale;flat;4;28;2;70.0;48000000;Кунцево; Академика Павлова;28;Молодёжная;Академика Павлова
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298329420/;Cанкт-Петербург;sale;flat;2;9;1;49.2;50910200;Таганский;Серебрянический переулок;6;Китай-город;Титул на Серебрянической
SUNRISE Estate;real_estate_agent;https://www.cian.ru/sale/flat/303412649/;Cанкт-Петербург;sale;flat;2;24;2;90.6;59500000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Capital Group;developer;https://www.cian.ru/sale/flat/301483027/;Cанкт-Петербург;sale;flat;12;18;1;53.4;59653573;Дорогомилово;;;Москва-Сити;Бадаевский ЖК
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/300133660/;Cанкт-Петербург;sale;flat;3;3;2;107.8;70000000;Покровское-Стрешнево;Ленинградское шоссе;23к1;Балтийская;TWEED PARK
