author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ID 75313127;developer;https://kazan.cian.ru/sale/flat/296266798/;Казань;sale;flat;19;19;1;43.64;9430000;Советский; Мансура Хасанова;13;Аметьево;Мечта
ПИК;developer;https://kazan.cian.ru/sale/flat/294531389/;Казань;sale;flat;2;24;2;50.4;9512987;Советский;;1;Площадь Тукая;Сиберово ЖК
;;https://kazan.cian.ru/sale/flat/302285459/;Казань;sale;flat;1;10;2;59.26;9523100;Приволжский;Ферма-2 жилмассив;;Дубравная;Стрела
Унистрой;developer;https://kazan.cian.ru/sale/flat/297395530/;Казань;sale;flat;1;10;1;40.66;9473000;Советский;;3;Горки;Лето ЖК
Унистрой;developer;https://kazan.cian.ru/sale/flat/297395410/;Казань;sale;flat;1;10;1;38.73;9467000;Советский;;3;Горки;Лето ЖК
Унистрой;developer;https://kazan.cian.ru/sale/flat/303560359/;Казань;sale;flat;3;10;1;40.84;9510000;Приволжский;33-й Военный городок;;Аметьево;Аквамарин
Суварстроит;developer;https://kazan.cian.ru/sale/flat/301483079/;Казань;sale;flat;12;19;2;48.79;9489000;Приволжский; Рауиса Гареева;;Дубравная;Батталовский
Суварстроит;developer;https://kazan.cian.ru/sale/flat/301304880/;Казань;sale;flat;15;19;2;52.77;9484000;Приволжский;проезд Детский;;Дубравная;Станция Спортивная
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301111641/;Казань;sale;flat;3;25;1;38.51;9511970;Советский;;;Горки;Мой Ритм ЖК
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/301112580/;Казань;sale;flat;4;24;1;38.31;9500880;Советский;;ПК4;Горки;Мой Ритм ЖК
ПИК;developer;https://kazan.cian.ru/sale/flat/300130699/;Казань;sale;flat;6;10;2;49.5;9525668;Советский;;;Площадь Тукая;Сиберово ЖК
